iter	Passed	Remaining
154	689	3759
155	693	3752
156	697	3747
157	701	3738
158	706	3734
159	709	3722
160	711	3707
161	714	3694
162	719	3692
163	723	3687
164	725	3673
165	729	3664
166	732	3653
167	737	3652
168	741	3647
169	744	3636
170	748	3627
171	751	3617
172	756	3616
173	760	3608
174	764	3605
175	769	3602
176	774	3601
177	777	3589
178	782	3590
179	786	3583
180	790	3575
181	793	3564
182	795	3552
183	798	3541
184	801	3531
185	805	3523
186	809	3520
187	812	3511
188	815	3500
189	819	3493
190	822	3484
191	826	3476
192	829	3468
193	832	3456
194	835	3447
195	839	3445
196	845	3448
197	849	3441
198	855	3443
199	859	3437
200	864	3437
201	869	3434
202	872	3425
203	875	3416
204	880	3415
205	883	3405
206	888	3402
207	891	3394
208	894	3383
209	897	3376
210	901	3369
211	904	3360
212	906	3350
213	909	3340
214	914	3338
215	917	3331
216	920	3322
217	923	3313
218	927	3306
219	929	3296
220	932	3288
221	935	3279
222	939	3271
223	942	3264
224	946	3259
225	949	3250
226	953	3245
227	956	3239
228	959	3229
229	962	3222
230	965	3215
231	969	3209
232	973	3204
233	977	3199
234	980	3193
235	984	3186
236	987	3177
237	990	3172
238	994	3167
239	999	3163
240	1001	3154
241	1005	3149
242	1008	3141
243	1011	3135
244	1015	3127
245	1018	3120
246	1021	3114
247	1024	3106
248	1027	3100
249	1031	3093
250	1034	3086
251	1039	3085
252	1044	3083
253	1048	3078
254	1051	3072
255	1054	3063
256	1057	3056
257	1060	3049
258	1063	3042
259	1067	3037
260	1070	3029
261	1073	3023
262	1076	3015
263	1078	3007
264	1081	3000
265	1085	2994
266	1089	2991
267	1093	2986
268	1097	2981
269	1102	2979
270	1104	2971
271	1108	2967
272	1112	2961
273	1114	2952
274	1119	2950
275	1122	2944
276	1125	2937
277	1128	2930
278	1132	2927
279	1137	2923
280	1140	2918
281	1143	2912
282	1146	2905
283	1149	2898
284	1153	2894
285	1156	2887
286	1159	2881
287	1163	2875
288	1166	2869
289	1169	2863
290	1175	2863
291	1179	2860
292	1182	2852
293	1185	2847
294	1188	2841
295	1191	2833
296	1194	2828
297	1197	2821
298	1201	2816
299	1206	2814
300	1210	2809
301	1212	2802
302	1213	2791
303	1216	2785
304	1219	2779
305	1222	2773
306	1225	2766
307	1229	2762
308	1232	2755
309	1235	2750
310	1238	2744
311	1242	2738
312	1244	2731
313	1247	2726
314	1251	2721
315	1254	2714
316	1257	2709
317	1260	2703
318	1263	2697
319	1267	2693
320	1272	2692
321	1276	2687
322	1279	2682
323	1282	2676
324	1286	2671
325	1290	2667
326	1295	2665
327	1298	2660
328	1301	2654
329	1304	2648
330	1307	2643
331	1311	2638
332	1314	2632
333	1317	2626
334	1319	2619
335	1324	2616
336	1326	2610
337	1329	2604
338	1332	2599
339	1335	2593
340	1340	2590
341	1343	2585
342	1347	2580
343	1351	2577
344	1356	2574
345	1361	2572
346	1364	2567
347	1367	2562
348	1370	2556
349	1374	2551
350	1377	2546
351	1381	2542
352	1384	2536
353	1387	2531
354	1393	2531
355	1396	2526
356	1401	2524
357	1406	2521
358	1409	2517
359	1414	2514
360	1417	2508
361	1420	2503
362	1422	2496
363	1427	2493
364	1430	2488
365	1434	2485
366	1437	2479
367	1442	2476
368	1445	2471
369	1448	2466
370	1451	2460
371	1453	2453
372	1457	2450
373	1460	2445
374	1463	2439
375	1466	2433
376	1471	2431
377	1474	2425
378	1479	2424
379	1483	2419
380	1487	2416
381	1490	2411
382	1493	2406
383	1496	2399
384	1499	2394
385	1502	2389
386	1506	2385
387	1508	2379
388	1511	2374
389	1514	2369
390	1517	2363
391	1521	2360
392	1526	2357
393	1530	2354
394	1533	2348
395	1537	2345
396	1541	2340
397	1544	2336
398	1547	2330
399	1549	2324
400	1552	2319
401	1558	2318
402	1561	2313
403	1565	2309
404	1569	2306
405	1573	2302
406	1578	2299
407	1581	2294
408	1584	2289
409	1587	2284
410	1590	2279
411	1593	2274
412	1599	2272
413	1601	2267
414	1605	2263
415	1609	2259
416	1613	2255
417	1616	2250
418	1619	2245
419	1622	2240
420	1624	2234
421	1629	2231
422	1632	2226
423	1634	2221
424	1637	2215
425	1639	2209
426	1642	2204
427	1646	2200
428	1652	2199
429	1655	2194
430	1658	2189
431	1662	2186
432	1665	2181
433	1668	2176
434	1675	2176
435	1679	2172
436	1682	2168
437	1686	2163
438	1690	2159
439	1694	2156
440	1697	2151
441	1701	2147
442	1704	2143
443	1709	2140
444	1713	2137
445	1716	2131
446	1720	2128
447	1724	2124
448	1729	2121
449	1732	2117
450	1736	2113
451	1740	2110
452	1744	2105
453	1746	2100
454	1750	2096
455	1753	2092
456	1756	2087
457	1760	2083
458	1764	2079
459	1768	2075
460	1770	2070
461	1774	2066
462	1778	2062
463	1782	2058
464	1785	2054
465	1789	2050
466	1792	2045
467	1797	2043
468	1800	2038
469	1804	2035
470	1809	2032
471	1814	2029
472	1819	2026
473	1821	2021
474	1826	2018
475	1830	2015
476	1834	2011
477	1838	2008
478	1841	2003
479	1847	2001
480	1851	1997
481	1854	1993
482	1857	1988
483	1861	1984
484	1864	1979
485	1872	1980
486	1876	1976
487	1879	1972
488	1883	1968
489	1886	1963
490	1891	1960
491	1894	1956
492	1899	1953
493	1903	1949
494	1907	1946
495	1911	1942
496	1914	1938
497	1918	1934
498	1922	1930
499	1924	1924
500	1927	1919
501	1930	1914
502	1933	1910
503	1935	1905
504	1940	1901
505	1943	1897
506	1947	1894
507	1950	1889
508	1953	1884
509	1956	1879
510	1960	1875
511	1964	1872
512	1969	1869
513	1974	1866
514	1977	1862
515	1980	1857
516	1985	1855
517	1989	1851
518	1991	1846
519	1995	1842
520	1998	1837
521	2004	1835
522	2006	1830
523	2009	1825
524	2014	1822
525	2017	1817
526	2020	1813
527	2025	1810
528	2029	1807
529	2033	1803
530	2036	1798
531	2039	1794
532	2042	1789
533	2046	1785
534	2049	1781
535	2052	1776
536	2056	1772
537	2060	1769
538	2063	1764
539	2066	1760
540	2069	1755
541	2074	1753
542	2079	1749
543	2081	1745
544	2085	1741
545	2088	1736
546	2091	1732
547	2095	1728
548	2098	1724
549	2102	1720
550	2104	1715
551	2109	1712
552	2112	1707
553	2115	1703
554	2119	1699
555	2122	1695
556	2126	1690
557	2128	1686
558	2131	1681
559	2134	1677
560	2139	1674
561	2142	1669
562	2146	1665
563	2149	1661
564	2152	1656
565	2156	1653
566	2160	1649
567	2164	1646
568	2166	1641
569	2169	1636
570	2173	1632
571	2176	1628
572	2181	1625
573	2184	1620
574	2187	1616
575	2190	1612
576	2195	1609
577	2200	1606
578	2204	1602
579	2206	1598
580	2209	1593
581	2213	1589
582	2215	1584
583	2219	1581
584	2221	1575
585	2224	1571
586	2227	1567
587	2230	1563
588	2234	1559
589	2237	1555
590	2240	1550
591	2243	1546
592	2247	1542
593	2251	1538
594	2255	1535
595	2259	1531
596	2263	1527
597	2266	1523
598	2269	1519
599	2272	1514
600	2275	1510
601	2278	1506
602	2281	1502
603	2284	1497
604	2288	1493
605	2291	1489
606	2295	1486
607	2300	1482
608	2302	1478
609	2305	1474
610	2309	1470
611	2313	1466
612	2317	1462
613	2320	1458
614	2325	1455
615	2328	1451
616	2332	1447
617	2334	1443
618	2337	1438
619	2341	1435
620	2344	1430
621	2347	1426
622	2352	1423
623	2355	1419
624	2358	1415
625	2361	1410
626	2364	1406
627	2367	1402
628	2371	1398
629	2377	1396
630	2380	1392
631	2384	1388
632	2388	1384
633	2393	1381
634	2396	1377
635	2400	1373
636	2402	1369
637	2406	1365
638	2410	1361
639	2414	1358
640	2419	1355
641	2423	1351
642	2426	1347
643	2431	1344
644	2434	1339
645	2437	1335
646	2439	1331
647	2443	1327
648	2446	1323
649	2449	1319
650	2452	1314
651	2455	1310
652	2458	1306
653	2461	1302
654	2464	1298
655	2467	1294
656	2472	1290
657	2476	1287
658	2480	1283
659	2483	1279
660	2486	1275
661	2489	1271
662	2492	1266
663	2496	1263
664	2499	1258
665	2503	1255
666	2506	1251
667	2508	1246
668	2511	1242
669	2514	1238
670	2518	1234
671	2520	1230
672	2523	1226
673	2527	1222
674	2531	1218
675	2534	1214
676	2538	1210
677	2541	1206
678	2544	1203
679	2547	1199
680	2551	1195
681	2555	1191
682	2559	1187
683	2562	1183
684	2565	1179
685	2568	1175
686	2571	1171
687	2575	1167
688	2578	1163
689	2581	1159
690	2584	1155
691	2588	1151
692	2592	1148
693	2596	1144
694	2599	1140
695	2603	1137
696	2607	1133
697	2610	1129
698	2614	1126
699	2618	1122
700	2626	1120
701	2629	1116
702	2632	1112
703	2635	1108
704	2638	1104
705	2641	1099
706	2644	1095
707	2647	1091
708	2653	1089
709	2657	1085
710	2660	1081
711	2663	1077
712	2669	1074
713	2672	1070
714	2676	1066
715	2681	1063
716	2685	1060
717	2688	1055
718	2693	1052
719	2696	1048
720	2699	1044
721	2704	1041
722	2706	1037
723	2710	1033
724	2714	1029
725	2717	1025
726	2722	1022
727	2725	1018
728	2727	1014
729	2733	1010
730	2736	1006
731	2739	1003
732	2744	999
733	2749	996
734	2752	992
735	2755	988
736	2759	984
737	2762	980
738	2767	977
739	2770	973
740	2774	969
741	2778	966
742	2780	961
743	2784	957
744	2786	953
745	2790	950
746	2794	946
747	2796	942
748	2800	938
749	2804	934
750	2806	930
751	2810	926
752	2813	922
753	2817	919
754	2821	915
755	2824	911
756	2828	908
757	2832	904
758	2835	900
759	2838	896
760	2842	892
761	2844	888
762	2848	884
763	2851	880
764	2857	877
765	2861	874
766	2864	870
767	2869	866
768	2875	863
769	2878	859
770	2881	855
771	2884	851
772	2887	847
773	2889	843
774	2893	840
775	2898	836
776	2901	832
777	2903	828
778	2910	825
779	2916	822
780	2921	819
781	2926	815
782	2930	812
783	2933	808
784	2937	804
785	2941	800
786	2949	798
787	2952	794
788	2955	790
789	2959	786
790	2962	782
791	2965	778
792	2967	774
793	2970	770
794	2972	766
795	2975	762
796	2977	758
797	2979	754
798	2981	750
799	2984	746
800	2986	742
801	2988	737
802	2991	733
803	2993	729
804	2996	725
805	2998	721
806	3000	717
807	3003	713
808	3005	709
809	3007	705
810	3010	701
811	3012	697
812	3014	693
813	3017	689
814	3019	685
815	3022	681
816	3024	677
817	3027	673
818	3029	669
819	3031	665
820	3033	661
821	3035	657
822	3037	653
823	3040	649
824	3043	645
825	3045	641
826	3047	637
827	3050	633
828	3052	629
829	3054	625
830	3056	621
831	3059	617
832	3061	613
833	3063	609
834	3066	606
835	3069	602
836	3071	598
837	3073	594
838	3075	590
839	3077	586
840	3079	582
841	3081	578
842	3083	574
843	3086	570
844	3088	566
845	3090	562
846	3092	558
847	3094	554
848	3097	550
849	3099	547
850	3102	543
851	3104	539
852	3106	535
853	3108	531
854	3111	527
855	3112	523
856	3114	519
857	3117	515
858	3120	512
859	3122	508
860	3124	504
861	3126	500
862	3129	496
863	3133	493
864	3136	489
865	3138	485
866	3141	481
867	3144	478
868	3146	474
869	3148	470
870	3150	466
871	3152	462
872	3154	458
873	3156	455
874	3158	451
875	3160	447
876	3162	443
877	3164	439
878	3167	435
879	3168	432
880	3170	428
881	3172	424
882	3174	420
883	3176	416
884	3178	413
885	3180	409
886	3182	405
887	3184	401
888	3186	397
889	3187	393
890	3189	390
891	3191	386
892	3193	382
893	3195	378
894	3197	375
895	3199	371
896	3200	367
897	3202	363
898	3204	360
899	3206	356
900	3208	352
901	3209	348
902	3211	344
903	3213	341
904	3215	337
905	3217	333
906	3218	330
907	3220	326
908	3222	322
909	3224	318
910	3226	315
911	3228	311
912	3230	307
913	3232	304
914	3234	300
915	3236	296
916	3237	293
917	3239	289
918	3241	285
919	3243	282
920	3245	278
921	3246	274
922	3248	270
923	3250	267
924	3252	263
925	3254	260
926	3256	256
927	3258	252
928	3259	249
929	3261	245
930	3264	241
931	3265	238
932	3267	234
933	3270	231
934	3271	227
935	3273	223
936	3275	220
937	3277	216
938	3279	213
939	3281	209
940	3283	205
941	3285	202
942	3287	198
943	3289	195
944	3291	191
945	3293	188
946	3295	184
947	3297	180
948	3299	177
949	3301	173
950	3303	170
951	3305	166
952	3307	163
953	3309	159
954	3310	156
955	3312	152
956	3314	148
957	3316	145
958	3318	141
959	3320	138
960	3322	134
961	3324	131
962	3326	127
963	3328	124
964	3330	120
965	3332	117
966	3334	113
967	3336	110
968	3338	106
969	3340	103
970	3342	99
971	3343	96
972	3345	92
973	3347	89
974	3349	85
975	3351	82
976	3353	78
977	3355	75
978	3356	72
979	3358	68
980	3360	65
981	3362	61
982	3364	58
983	3366	54
984	3368	51
985	3370	47
986	3372	44
987	3374	40
988	3376	37
989	3377	34
990	3379	30
991	3381	27
992	3383	23
993	3385	20
994	3386	17
995	3388	13
996	3390	10
997	3392	6
998	3394	3
999	3395	0
98	3663	3
999	3665	0
